104,2.73673,2.4982,2.06218,0.238529,2.61747
105,2.66417,2.43047,2.06218,0.233695,2.54732
107,2.45706,2.23061,2.06218,0.226446,2.34384
108,2.37891,2.19194,2.06218,0.186967,2.28543
109,2.28062,2.18147,2.06218,0.0991478,2.23104
110,2.17663,2.17422,2.06218,0.00241756,2.17542
111,2.14844,2.17663,2.06137,-0.0281982,2.16253
112,2.14038,2.17019,2.06218,-0.029809,2.15528
113,2.1291,2.17502,2.06218,-0.0459223,2.15206
114,2.12024,2.16616,2.06218,-0.0459223,2.1432
116,2.12749,2.17341,2.06218,-0.0459232,2.15045
117,2.13393,2.16777,2.06465,-0.0338373,2.15085
118,2.13957,2.17583,2.06137,-0.0362549,2.1577
119,2.15327,2.16938,2.06218,-0.0161133,2.16133
120,2.17019,2.17422,2.05654,-0.00402832,2.1722
122,2.34749,2.17422,2.05332,0.173271,2.26085
123,2.40469,2.17583,2.0517,0.228863,2.29026
124,2.56668,2.18066,2.05009,0.38602,2.37367
125,2.71175,2.18308,2.0517,0.528674,2.44742
126,2.76412,2.18389,2.0517,0.580237,2.474
127,2.76332,2.18308,2.04687,0.580238,2.4732
128,2.76251,2.20322,2.04526,0.559291,2.48287
129,2.7754,2.24189,2.04445,0.533509,2.50865
130,2.76332,2.26687,2.0509,0.496449,2.51509
131,2.76976,2.29995,2.04204,0.46981,2.53486
132,2.76815,2.29754,2.04687,0.470615,2.53284
132,2.76815,2.29754,2.04687,0.470615,2.53284
133,2.76009,2.28867,2.04848,0.471421,2.52438
134,2.75929,2.27981,2.05009,0.479479,2.51955
135,2.77057,2.27014,2.0509,0.500426,2.52036
136,2.7609,2.27981,2.05251,0.48109,2.52036
137,2.76412,2.27175,2.05251,0.492369,2.51794
138,2.75365,2.27739,2.04848,0.476255,2.51552
139,2.76171,2.27659,2.04848,0.485118,2.51915
140,2.76332,2.26934,2.05251,0.49398,2.51633
141,2.76171,2.2564,2.04768,0.50531,2.50905
142,2.75929,2.24351,2.05009,0.515784,2.5014
144,2.75768,2.23142,2.0872,0.526258,2.49455
145,2.76171,2.27014,2.09204,0.491564,2.51592
146,2.75768,2.27337,2.08962,0.484312,2.51552
148,2.7319,2.29028,2.09768,0.441611,2.51109
149,2.73351,2.25801,2.10171,0.475499,2.49576
150,2.75284,2.22497,2.10815,0.527869,2.48891
151,2.74076,2.23464,2.10896,0.506116,2.4877
152,2.56185,2.37085,2.10171,0.190996,2.46635
153,2.27659,2.58038,2.10493,-0.30379,2.42848
154,2.26606,2.57716,2.11057,-0.311091,2.42161
155,2.32735,2.51592,2.11299,-0.188579,2.42163
156,2.34426,2.49659,2.11218,-0.152324,2.42043
157,2.33137,2.51109,2.10976,-0.179716,2.42123
158,2.35474,2.47564,2.11299,-0.120902,2.41519
159,2.41758,2.41275,2.11218,0.00483418,2.41516
160,2.51915,2.32815,2.09929,0.190995,2.42365
161,2.56104,2.2919,2.10412,0.269147,2.42647
162,2.56829,2.27739,2.09848,0.290899,2.42284
163,2.50384,2.30882,2.10332,0.195024,2.40633
164,2.54009,2.28223,2.10009,0.257867,2.41116
165,2.59569,2.25478,2.10896,0.340901,2.42523
166,2.59005,2.24834,2.10251,0.341707,2.41919
167,2.51915,2.27739,2.11057,0.241753,2.39827
168,2.32332,2.40952,2.10573,-0.0862074,2.36642
169,2.27417,2.45384,2.10412,-0.179667,2.364
170,2.34426,2.38535,2.10815,-0.04109,2.36481
171,2.38938,2.33862,2.10251,0.0507584,2.364
172,2.36682,2.35152,2.10976,0.0153074,2.35917
173,2.25801,2.45706,2.10009,-0.199052,2.35753
174,2.18791,2.55057,2.10332,-0.362655,2.36924
175,2.16616,2.57877,2.10493,-0.412608,2.37246
176,2.13796,2.6408,2.10896,-0.502842,2.38938
177,2.12346,2.69725,2.10171,-0.573792,2.41036
178,2.11943,2.7182,2.10251,-0.598768,2.41882
179,2.11943,2.7182,2.10009,-0.598768,2.41882
180,2.11137,2.7182,2.09043,-0.606826,2.41479
181,2.11218,2.65611,2.09848,-0.543932,2.38415
182,2.11621,2.53365,2.09768,-0.417441,2.32493
183,2.1154,2.38374,2.08962,-0.268341,2.24957
185,2.10815,2.20483,2.09768,-0.0966816,2.15649
186,2.10896,2.19919,2.09848,-0.0902357,2.15407
187,2.10815,2.19839,2.09365,-0.0902357,2.15327
188,2.10654,2.20967,2.10171,-0.103127,2.1581
189,2.10976,2.21289,2.10171,-0.103127,2.16133
190,2.11218,2.20644,2.10251,-0.094264,2.15931
191,2.10896,2.21853,2.10412,-0.109571,2.16374
192,2.11299,2.24673,2.10815,-0.133742,2.17986
193,2.11299,2.3491,2.10896,-0.236114,2.23104
194,2.10815,2.45625,2.10654,-0.348103,2.2822
195,2.1146,2.53607,2.10412,-0.42147,2.32533
196,2.11057,2.5981,2.1009,-0.487535,2.35434
197,2.11621,2.63758,2.10171,-0.521374,2.37689
198,2.11057,2.66417,2.10412,-0.5536,2.38737
199,2.11137,2.6892,2.10171,-0.577822,2.40028
200,2.11057,2.69645,2.10251,-0.585878,2.40351
201,2.11379,2.70209,2.10009,-0.588295,2.40794
202,2.11379,2.71659,2.09848,-0.602797,2.41519
203,2.11621,2.71578,2.10171,-0.599574,2.41599
204,2.10654,2.71498,2.09687,-0.608438,2.41076
